0.49553,1.3221
-7.6615,-5.7644
-0.51141,1.9586
2.3214,5.0545
-2.0195,0.34092
-6.5189,-4.7777
0.26641,2.3592
-4.8785,-3.5146
-4.8374,-2.8104
0.70224,3.3218
5.75,6.9757
-6.8286,-5.767
-1.7667,-0.5632
0.40435,1.8636
-1.5761,-0.63041
2.132,5.014
-5.185,-3.5251
-0.59964,1.9578
-1.5437,0.32573
-7.817,-5.1727
-3.6526,-3.2991
-0.70529,0.00506
-3.0048,-0.68425
-2.3935,-1.9034
-0.94264,-0.46249
-1.9343,0.23832
-1.283,-0.76194
-0.38848,1.1461
-1.1151,2.0278
-1.709,0.8766
1.9344,4.0634
-4.299,-2.2258
-4.1375,-0.82818
-4.0518,-1.7807
3.9041,6.4578
-7.0233,-4.9286
-1.1953,2.5819
-1.2685,1.1212
0.13147,2.5571
-6.8244,-5.791
4.198,5.8591
-3.3886,-0.98005
1.3651,2.1773
-5.7778,-3.8964
-3.9977,-1.957
-8.2418,-4.6721
-1.0683,-4.0974
5.4001,2.4341
5.1599,2.5871
3.0834,-1.0177
4.1844,1.9339
0.39144,-1.5853
4.4168,0.1212
6.223,5.0323
1.2892,-0.29687
8.6351,5.7328
1.8482,-2.9414
-0.87547,-4.3877
-0.42572,-7.3642
-0.9233,-5.1256
-0.081171,-2.4433
1.0514,-3.0568
6.3585,2.43
2.7006,-0.25733
5.1726,0.86644
2.2665,-0.82415
0.7177,-1.7864
8.0069,4.1797
1.0234,-2.7906
4.8224,2.2581
1.5403,-1.2853
6.2164,4.5979
6.6096,3.8412
3.1687,-0.42044
4.238,1.7191
2.0702,-0.85223
2.385,-0.11126
3.0375,0.049356
4.4861,2.4781
1.7149,-1.6982
2.2596,-0.61605
3.8097,0.053026
2.2318,-2.1668
-0.20323,-2.6196
7.2327,6.2794
4.0678,1.5098
7.5293,3.8676
3.8817,-0.0083276
0.70057,-2.7706
5.1785,1.4548
3.4706,1.5744
6.6011,3.8681
